Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
XC_link,5.5072E-05,0.022569,-0.054916,0,0,0,14.384,0.22497,-3.0958E-05,-8.9479E-06,0.21297,-0.018856,0.17973,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/XC_link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/XC_link.STL,,XC02URDF-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LZ2_Link,6.7269E-11,0.17522,0.0032343,0,0,0,0.94345,0.012938,2.9753E-12,2.5748E-12,0.0066662,1.5913E-05,0.013165,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LZ2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LZ2_Link.STL,,LZ2URDF-1,坐标系2,,LZ2_Joint,prismatic,-0.00021,0.024678,0,0,0,0,XC_link,0,1,0,0,0,0,0,,,,,,,,
LZ3_Link,1.8148E-10,0.17525,0.0033761,0,0,0,0.86361,0.011368,6.757E-12,4.049E-12,0.0050311,1.5299E-05,0.011565,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LZ3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LZ3_Link.STL,,LZ3URDF-1,坐标系3,,LZ3_Joint,prismatic,0,0.0088157,0,0,0,0,LZ2_Link,0,1,0,0,0,0,0,,,,,,,,
LZ4_Link,1.0747E-05,0.18917,0.0030708,0,0,0,0.85186,0.011792,-1.4664E-06,-1.2479E-07,0.00382,7.584E-05,0.011952,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LZ4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LZ4_Link.STL,,LZ4URDF-1,坐标系4,,LZ4_Joint,prismatic,0,0.0036467,0,0,0,0,LZ3_Link,0,1,0,0,0,0,0,,,,,,,,
YBZC_Link,0.0058559,0.14288,-0.016569,0,0,0,1.431,0.0068402,-6.4722E-05,1.006E-06,0.0048989,-7.9366E-05,0.0072204,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/YBZC_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/YBZC_Link.STL,,YBZC01URDF-1,坐标系6,基准轴2,YBZC_Joint,revolute,0.0025582,0.351,0.0007916,0,0,0,LZ4_Link,0,-1,0,100,1,-3.14,3.14,,,,,,,,
j2_Link,0.046131,0.00032668,-0.0032061,0,0,0,0.92796,0.00088753,5.0891E-06,2.5271E-05,0.0010211,-2.8242E-06,0.00098034,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j2_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j2_Link.STL,,URDF机械臂j20428-1,坐标系7,基准轴3,j2_Joint,revolute,0.111,0.1595,0,0,0,0,YBZC_Link,1,0,0,100,1,-3.14,3.14,,,,,,,,
J3_Link,0.071865,1.6839E-06,-0.00063312,0,0,0,0.50977,0.00018001,2.0628E-08,1.2826E-06,0.00036994,-2.9567E-08,0.00039038,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J3_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J3_Link.STL,,URDF机械臂j30428-1,坐标系10,基准轴6,J3_Joint,revolute,0.056,0,0,0,0,0,j2_Link,0,0,1,100,1,-3.14,3.14,,,,,,,,
J4_Link,0.14016,0.0010993,0.022361,0,0,0,0.60411,0.0004203,-2.617E-05,-0.00053763,0.0024973,-9.2402E-06,0.0023131,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J4_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J4_Link.STL,,URDF机械臂j40428-1,坐标系12,基准轴10,J4_Joint,revolute,0.1195,0,0,0,0,0,J3_Link,1,0,0,100,1,-3.14,3.14,,,,,,,,
J5_Link,0.052507,0.00018927,-0.033929,0,0,0,0.34687,0.00027475,3.7203E-06,7.3052E-05,0.00034503,-2.618E-06,0.00040646,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J5_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J5_Link.STL,,URDF机械臂j50428-1,坐标系13,基准轴11,J5_Joint,revolute,0.18,-7E-05,0.038,0,0,0,J4_Link,0,1,0,100,1,-3.14,3.14,,,,,,,,
J6_Link,0.065022,-0.00016716,3.0069E-06,0,0,0,0.088738,3.2287E-05,8.7819E-07,9.8315E-08,0.00015959,-1.7849E-08,0.00017485,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J6_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J6_Link.STL,,URDF机械臂j60428-1,坐标系14,基准轴12,J6_Joint,revolute,0.09145,0,-0.038,0,0,0,J5_Link,1,0,0,100,1,-3.14,3.14,,,,,,,,
J7_Link,0.031037,-0.0012161,-0.0011059,0,0,0,0.31252,0.00015227,-9.2317E-06,8.9106E-06,0.00041042,1.2128E-07,0.00041018,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J7_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J7_Link.STL,,URDF机械臂j70428-1,坐标系15,基准轴13,J7_Joint,revolute,0.131,0,0,0,0,0,J6_Link,0,1,0,100,1,-3.14,3.14,,,,,,,,
J8_Link,0.028424,-7.4289E-05,-0.0011344,0,0,0,0.066514,5.3128E-05,1.1277E-07,-7.1494E-08,8.5643E-05,2.9584E-09,6.657E-05,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J8_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/J8_Link.STL,,URDF机械臂j80428-1,坐标系16,基准轴14,J8_Joint,revolute,0.062,0,-0.00031,0,0,0,J7_Link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Ljq_Link,-0.010398,1.0574E-09,0.00037414,0,0,0,0.012359,3.4764E-06,-7.3424E-14,2.0732E-08,2.1231E-06,1.4724E-13,2.0554E-06,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/Ljq_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/Ljq_Link.STL,,610000-连接器0428-1,坐标系17,,ee_Ljq_Joint,fixed,0.081019,0,-0.00085131,0,0,0,J8_Link,0,0,0,,,,,,,,,,,,
j2y_Link,0.046131,-0.00032668,0.0032061,0,0,0,0.92796,0.00088753,-5.0891E-06,-2.5271E-05,0.0010211,-2.8242E-06,0.00098034,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j2y_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j2y_Link.STL,,URDF机械臂j20428-2,坐标系8,基准轴4,j2y_Joint,revolute,-0.111,0.1595,0,3.1416,0,3.1416,YBZC_Link,1,0,0,100,1,-3.14,3.14,,,,,,,,
j3y_Link,0.071865,-1.6839E-06,0.00063312,0,0,0,0.50977,0.00018001,-2.0628E-08,-1.2826E-06,0.00036994,-2.9567E-08,0.00039038,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j3y_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j3y_Link.STL,,URDF机械臂j30428-2,坐标系11,基准轴8,j3y_Joint,revolute,0.056,0,0,0,0,0,j2y_Link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
j4y_Link,0.14016,-0.0010993,-0.022361,0,0,0,0.60411,0.0004203,2.617E-05,0.00053763,0.0024973,-9.2402E-06,0.0023131,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j4y_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j4y_Link.STL,,URDF机械臂j40428-2,坐标系18,基准轴16,j4y_Joint,revolute,0.1195,0,0,0,0,0,j3y_Link,1,0,0,100,1,-3.14,3.14,,,,,,,,
j5y_Link,0.052507,-0.00018927,0.033929,0,0,0,0.34687,0.00027475,-3.7203E-06,-7.3052E-05,0.00034503,-2.618E-06,0.00040646,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j5y_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j5y_Link.STL,,URDF机械臂j50428-2,坐标系19,基准轴17,j5y_Joint,revolute,0.18,7E-05,-0.038,0,0,0,j4y_Link,0,-1,0,100,1,-3.14,3.14,,,,,,,,
j6y_Link,0.065022,-0.00016716,3.0069E-06,0,0,0,0.088738,3.2287E-05,8.7819E-07,9.8315E-08,0.00015959,-1.7849E-08,0.00017485,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j6y_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j6y_Link.STL,,URDF机械臂j60428-2,坐标系20,基准轴18,j6y_Joint,revolute,0.09145,0,0.038,0,0,0,j5y_Link,1,0,0,100,1,-3.14,3.14,,,,,,,,
j7y_Link,0.031037,-0.0012161,-0.0011059,0,0,0,0.31252,0.00015227,-9.2317E-06,8.9106E-06,0.00041042,1.2128E-07,0.00041018,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j7y_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j7y_Link.STL,,URDF机械臂j70428-2,坐标系21,基准轴19,j7y_Joint,revolute,0.131,0,0,0,0,0,j6y_Link,0,1,0,100,1,-3.14,3.14,,,,,,,,
j8y_Link,0.028424,-7.4306E-05,-0.0011344,0,0,0,0.066514,5.3128E-05,1.1277E-07,-7.1494E-08,8.5643E-05,2.9584E-09,6.657E-05,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j8y_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/j8y_Link.STL,,URDF机械臂j80428-2,坐标系22,基准轴22,j8y_Joint,revolute,0.062,0,-0.00031,0,0,0,j7y_Link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
LJQy_Link,-0.010398,1.0574E-09,0.00037414,0,0,0,0.012359,3.4764E-06,-7.3424E-14,2.0732E-08,2.1231E-06,1.4724E-13,2.0554E-06,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LJQy_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/LJQy_Link.STL,,610000-连接器0428-2,坐标系23,,ee_LJQy_Joint,fixed,0.081019,0,-0.00085131,0,0,0,j8y_Link,0,0,0,,,,,,,,,,,,
TBYD2_Link,-8.5732E-05,0.033165,0.00029433,0,0,0,0.074225,2.9223E-05,-1.6174E-07,-2.5898E-09,2.1592E-05,6.3242E-07,2.8278E-05,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/TBYD2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/TBYD2_Link.STL,,TBYD2URDF-1,坐标系9,基准轴5,TBYD2_Joint,revolute,0,0.2359,0,0,0,0,YBZC_Link,0,1,0,100,1,-3.14,3.14,,,,,,,,
tbyd3_Link,0.00025629,0.054877,0.00067089,0,0,0,0.085241,3.3081E-05,4.9192E-07,1.5823E-07,2.7726E-05,8.0468E-07,2.9994E-05,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/tbyd3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/tbyd3_Link.STL,,TBYD3URDF-1,坐标系24,基准轴23,tbyd3_Joint,revolute,0,0.0375,0.0008,0,0,0,TBYD2_Link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
tbyd4_Link,-3.9653E-05,0.098934,0.012696,0,0,0,0.5896,0.0019464,3.5407E-06,-1.2114E-07,0.0016861,9.751E-05,0.0018719,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/tbyd4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://LSJQRZCURDF0505.SLDASM/meshes/tbyd4_Link.STL,,TBZCURDF-1,坐标系25,基准轴25,tbyd4_Joint,revolute,0.0008,0.0656,0,0,0,0,tbyd3_Link,-1,0,0,100,1,-3.14,3.14,,,,,,,,
